customer_id,name,email,city,state,signup_date
1,Himmat Kala,ojassethi@sen.com,Ranchi,Odisha,2024-05-05
2,Jiya Badami,darshityogi@ganesh.biz,Udaipur,Uttar Pradesh,2025-08-31
3,Alia Chowdhury,vedika32@ratta-suresh.com,Bangalore,Assam,2024-03-28
4,Taran Chakrabarti,bobalveer@randhawa.info,Madanapalle,West Bengal,2023-09-29
5,Shalv Uppal,kurianivan@hotmail.com,Bhind,Andhra Pradesh,2026-01-09
6,Anahi Upadhyay,anika34@hotmail.com,Dibrugarh,Kerala,2024-12-01
7,Bhamini Chawla,hbail@yahoo.com,Nagaon,Gujarat,2025-06-05
8,Aaryahi Sethi,advikabalasubramanian@gmail.com,Jalandhar,Uttar Pradesh,2024-05-09
9,Myra Grewal,sherepriyansh@bhavsar.com,Kolkata,Haryana,2024-03-21
10,Nishith Solanki,sandhudharmajan@yahoo.com,Ambala,Sikkim,2023-07-21
11,Saksham Kata,bhatvidur@lad.biz,Nizamabad,Kerala,2025-01-29
12,Kiaan Krish,jivika20@hotmail.com,Chinsurah,Uttarakhand,2024-12-28
13,Yashvi Chowdhury,farhan30@hotmail.com,Mehsana,Rajasthan,2024-07-05
14,Mamooty Buch,dasinaaya@gmail.com,Kota,Jharkhand,2025-06-16
15,Indrans Batta,adatta@yahoo.com,Kozhikode,Maharashtra,2025-09-11
16,Riya Dutt,qsodhi@gmail.com,Khammam,Tamil Nadu,2024-04-12
17,Hazel Konda,fvala@kakar.com,Kadapa,Sikkim,2023-09-02
18,Jhanvi Khosla,wgarde@hotmail.com,Kavali,Nagaland,2024-04-17
19,Mamooty Chand,anikajaggi@hotmail.com,Mumbai,Kerala,2025-02-18
20,Mehul Kapadia,shraykibe@konda.com,Ahmedabad,Rajasthan,2023-03-16
21,Divij Goyal,qtalwar@char.biz,Silchar,Tripura,2026-01-09
22,Armaan Rao,abutala@yahoo.com,Karaikudi,Meghalaya,2023-05-23
23,Prerak Bumb,yashvisodhi@devi.com,Noida,Meghalaya,2023-08-31
24,Saanvi Tiwari,behlanaya@hotmail.com,Kishanganj,Madhya Pradesh,2025-06-19
25,Pihu Divan,navyamadan@hotmail.com,Siliguri,Punjab,2023-07-24
26,Taran Raj,kadakiakartik@gmail.com,Jammu,Bihar,2024-03-09
27,Advika Garg,baliaarna@bora.biz,Sangli-Miraj & Kupwad,Mizoram,2024-04-16
28,Myra Sinha,gswaminathan@chandra.info,Mehsana,Maharashtra,2023-11-01
29,Urvi Kadakia,aryaheer@edwin.biz,Gandhinagar,Uttar Pradesh,2024-06-11
30,Eshani Sarin,rheakakar@kuruvilla-koshy.com,Bharatpur,Odisha,2023-10-18
31,Jayesh Shah,omadan@hotmail.com,Thoothukudi,Odisha,2025-03-08
32,Hrishita Agate,ovarkey@yahoo.com,Berhampore,Rajasthan,2025-11-04
33,Suhana Sachdev,ybassi@gmail.com,Vijayanagaram,Tamil Nadu,2023-03-03
34,Vivaan Sachdev,shanaya71@wali-mander.com,Thoothukudi,West Bengal,2025-09-01
35,Prerak Kapur,yuvraj-anand@guha.info,Jabalpur,Kerala,2023-12-19
36,Taimur Gandhi,taranshanker@arya-kar.info,Phusro,Uttarakhand,2025-06-22
37,Aaina Chopra,khushikari@gour.org,Bhusawal,Himachal Pradesh,2023-08-31
38,Ehsaan Kohli,divij35@kuruvilla.net,Hubli–Dharwad,Uttarakhand,2025-03-25
39,Gokul Dave,bchahal@yohannan.com,Gulbarga,Uttar Pradesh,2025-02-12
40,Pari Dewan,raniasandal@hotmail.com,Motihari,Bihar,2024-11-30
41,Shray Buch,chopravritika@hotmail.com,Dhule,Haryana,2023-10-16
42,Eva Chad,riaanbehl@tiwari.biz,Loni,Karnataka,2023-08-15
43,Kiaan Bandi,anya52@hotmail.com,Dindigul,Madhya Pradesh,2025-12-08
44,Taran Mangat,karadevansh@gmail.com,Nadiad,Kerala,2024-11-24
45,Diya Bhat,devansh50@yahoo.com,Hosur,Meghalaya,2024-11-19
46,Hunar Gopal,samaira01@yahoo.com,Loni,Tripura,2025-05-29
47,Faiyaz Sachdeva,anandmadhav@gmail.com,Mau,Bihar,2025-01-15
48,Anahita Gour,jkoshy@hotmail.com,Gandhidham,Himachal Pradesh,2025-10-01
49,Darshit Sethi,ehsaanmadan@hotmail.com,Purnia,Arunachal Pradesh,2024-03-20
50,Purab Dave,indrajitswaminathan@suresh.com,Malda,Telangana,2026-02-11
51,Shanaya Devan,tejas82@bose.biz,Surat,Karnataka,2023-12-23
52,Seher Chaudhuri,vihaan90@mani.info,Bhimavaram,Jharkhand,2023-06-14
53,Sana Buch,elakshirao@hotmail.com,Bareilly,Mizoram,2025-07-16
54,Ishaan Iyengar,kashvi43@yahoo.com,Ramgarh,Jharkhand,2024-12-03
55,Indrajit Iyengar,subramaniamsamaira@saini.biz,Madurai,Sikkim,2024-11-29
56,Nitara Gill,karnikkashvi@dayal.com,Kadapa,Andhra Pradesh,2024-01-24
57,Jayant Toor,xkalla@loyal-dara.com,Parbhani,Maharashtra,2025-06-05
58,Samiha Reddy,zeeshan00@varma.biz,Junagadh,Uttar Pradesh,2024-06-19
59,Drishya Sahni,tellaseher@hotmail.com,Bhubaneswar,Chhattisgarh,2023-10-02
60,Eva Salvi,hridaankhosla@gmail.com,Bahraich,Gujarat,2024-06-21
61,Amani Bhalla,azad45@dey-venkataraman.com,Mira-Bhayandar,Andhra Pradesh,2025-12-14
62,Aarav Kannan,ilalla@hotmail.com,Madurai,Bihar,2025-02-14
63,Mohanlal Ramaswamy,nityareddy@hotmail.com,Belgaum,Tamil Nadu,2024-10-24
64,Seher Trivedi,tshroff@doshi.biz,Karnal,Uttarakhand,2025-10-27
65,Divyansh Majumdar,issacbiju@mammen.com,Ballia,Rajasthan,2025-08-16
66,Ishita Lal,shaan63@sood.com,Jorhat,Chhattisgarh,2024-07-06
67,Kaira Chaudhry,esahni@mandal.com,Naihati,Odisha,2024-11-20
68,Devansh Arya,fmahal@butala.net,Panvel,Bihar,2024-06-27
69,Zain Koshy,armaanvenkatesh@hotmail.com,Sambalpur,Nagaland,2025-09-26
70,Himmat Rau,kashyapsaanvi@gmail.com,Ulhasnagar,Odisha,2025-01-16
71,Inaaya  Loke,ivanamann@kadakia-gopal.biz,Baranagar,Uttar Pradesh,2023-09-24
72,Samar Sood,pchaudhry@yahoo.com,Firozabad,Maharashtra,2024-07-27
73,Myra Amble,dishanikulkarni@soni-sankar.org,Ratlam,Assam,2024-04-06
